3 letter,3 Classic OND,3 Broad OND,4 Letter,4 Classic OND,4 Broad OND,5 Letter,5 Classic OND,5 Broad OND
أبى,28,40,أبدع,15,19,أثواب,2,5
أخذ,11,17,أبرز,14,19,أحباب,7,8
أذن,16,24,أرسل,7,11,أحجار,8,11
أرس,39,55,أصبح,5,8,أحلام,12,13
أسر,40,70,أقام,23,29,أدباء,7,9
أكل,33,54,أوضح,5,6,أدوات,5,5
أمد,35,57,أوفى,21,24,أديرة,3,3
أمر,45,78,أيقن,5,7,أذكار,3,6
أمن,35,57,بادر,29,36,أسباب,6,7
أنس,26,47,بارك,17,23,أسماء,5,7
أنا,32,59,باسم,12,15,أطفال,6,9
بخل,26,30,بدأت,4,6,أقسام,6,12
بدأ,26,35,بلغت,3,5,أقوام,8,12
بذل,27,34,بقيت,4,7,أمالت,1,3
برق,41,60,تابع,15,21,أمنية,3,6
بصر,33,43,تأمل,21,31,أنوار,11,15
بضع,14,20,تحدث,8,12,أنظار,7,10
بغى,14,16,تذكر,8,14,أنباء,9,13
بكر,38,50,تزوج,6,11,أوقات,1,3
بلغ,19,29,تحقق,7,10,أوراق,5,8
بحث,7,17,تمسك,6,10,إخلاص,4,6
بعد,20,27,مكتب,7,18,إصلاح,2,8
بيت,24,37,ثابر,10,14,ابتسم,4,6
ترك,16,28,جاهد,11,15,اتساع,3,4
تعب,15,30,جعلت,1,2,اتفاق,4,9
تعس,11,16,جمال,19,24,احتاج,9,12
تلف,24,46,جندي,13,18,احتوى,14,14
تمر,23,45,حادث,4,8,اختار,14,20
تمم,25,37,حارس,10,13,احترم,14,15
توب,21,33,حاول,22,27,اختبر,10,13
ثبت,12,19,حبوب,12,16,احتفل,9,12
ثنى,20,23,حدثت,0,1,أحاطت,1,2
ثمر,26,33,حدود,17,22,أدركت,0,1
ثقب,17,23,حرصت,0,1,ابتعد,6,10
ثمد,18,21,حكيم,8,11,ابتكر,7,10
جاء,33,42,حملت,2,3,ابتهج,6,8
جدد,34,40,حميد,13,19,ابتلى,8,11
جذب,18,24,حنون,10,13,ابتغى,3,3
جلس,30,39,حولت,1,3,أبدعت,0,1
جمع,24,35,خرجت,1,3,أظهرت,0,1
جمل,34,44,خالد,14,18,أوصاف,3,4
جنب,25,34,خائف,7,9,أولاد,5,5
جهر,33,44,خدمك,3,4,أوهام,5,6
جفن,21,26,خليل,23,27,بداية,10,13
جند,28,38,دخلت,1,2,بارقة,6,10
جرح,32,38,دليل,16,21,باطنة,3,5
جرى,37,42,دفعك,1,3,باقية,7,10
حبط,31,37,دهشت,1,3,بحرية,2,6
حدث,14,23,رابط,8,15,بديعة,4,7
حدق,27,34,راجع,15,20,بدائع,3,4
حذف,18,19,راعي,17,24,بديلة,7,10
حذر,33,39,راقب,16,20,بذورك,0,1
حرث,24,31,راحة,10,19,براءة,7,7
حرف,43,53,رحمة,16,20,برهان,3,5
حسب,21,30,رفيق,9,12,بساطة,4,6
حسن,25,35,رسمت,1,3,بشارة,10,13
حفظ,7,16,رغبة,11,15,بطاقة,4,6
حقد,24,31,رميت,5,7,بعيدة,2,3
حكم,20,32,زائر,17,20,بلاغة,2,5
حلف,39,46,زاهر,17,20,بلادك,1,3
حمد,37,49,زادت,0,1,بلورة,6,7
حمل,40,54,زينة,11,18,بناؤه,0,0
حمى,33,39,سافر,20,24,بيضاء,2,2
حنى,38,38,سالم,13,19,تأثير,8,11
حجر,43,52,سابق,12,21,تأكيد,6,10
خرج,27,37,ساطع,6,8,تاريخ,3,5
خدم,25,33,سريع,10,15,تبادل,7,10
خذل,20,23,سعيد,11,16,تباطؤ,2,2
خرب,40,54,سمعت,3,5,تبادل,7,10
خسر,30,36,سهلت,1,3,تجارب,8,10
خصر,27,32,شاهد,10,16,تجديد,16,18
خطف,27,36,شامل,17,21,تحقيق,3,5
خلد,24,32,شجاع,7,12,تحديق,5,6
خلق,32,41,شديد,13,16,تحليق,7,10
خلف,41,52,شمسك,4,6,تخطيط,1,3
ختم,20,25,شوقك,2,4,تدبير,7,9
خشى,20,22,صابر,12,15,تدريس,8,10
دخل,15,24,صادق,6,10,تذكير,3,5
دحر,24,28,صاحب,8,11,تراثي,5,6
درس,44,52,صديق,4,8,ترابط,3,7
دعا,15,20,صغير,7,13,تربية,10,13
دفع,22,29,صريح,14,18,تسامح,6,8
دهن,24,30,ضحيت,1,2,تسابق,3,6
دنا,23,27,طائع,16,18,تشابه,3,7
ذبل,22,26,طاهر,13,15,تصاعد,4,8
ذهب,16,24,طويل,5,9,تصحيح,8,11
ذكر,18,29,طريق,12,17,تطوير,13,15
ذرف,24,28,عاقل,16,21,تغطية,7,7
ذاق,24,28,عامل,22,30,تقدير,13,16
رجع,29,39,عرفت,2,5,تكرار,1,4
رحل,31,38,عزيز,4,9,تكليف,8,12
رسم,36,45,عفيف,13,15,تناسق,4,6
رفع,31,40,عظيم,6,9,تنمية,9,9
رفض,23,30,عادل,18,25,تواضع,2,4
رقص,21,30,غائب,19,20,توثيق,1,3
ركب,28,39,غالي,20,25,ثابتة,1,2
ركز,17,24,غافل,8,12,ثانية,4,6
رمى,35,37,فاضل,7,13,جائزة,1,2
رقد,32,42,فاعل,5,9,حاكمة,0,5
رعى,25,29,فخور,10,13,جوانب,1,4
